asv,best_cosine,n_old_genomes,genome_top1,taxon_top1,genus_top1,genome_top5,taxon_top5,genus_top5,genome_top20,taxon_top20,genus_top20,genome_top50,taxon_top50,genus_top50,genome_top100,taxon_top100,genus_top100
0fec351445f84bd482075ceda6123f46,1.0,10,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True
63f37ee4b481fccdffca10160ed5b944,1.0,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7f78afb7e1d45cd528fe9cd909c93fb5,1.0,7,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
b64cf0e9dea8cef6b9500b364c179b98,1.0,39,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
c55a8101fb6c187736f0af61f720cb92,0.999,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
8466f2635d9fbf9c51a04877474f3d09,1.0,6,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
83adaf3a09d08c93f2abea6a4c815592,1.0,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
35dbde30af820a2c3bcd85216229ad6a,1.0,12,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
04869be25e3dc4d526ce3824d407aedf,1.0,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
25c54c57b4a4283237b33fdae82003c0,0.998,7,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
a039c1ac15b3f4bc5cf1db8a5f1cc0fd,1.0,25,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
38b371de3be6ddef03bea94294e9830d,1.0,3,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
37a9f9625f201b6e61c29ac09ec54683,0.9971,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
c571cb007a7d9e2dfc56e8c0b4e24104,1.0,20,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
d3cf08daefed96f494257ceff63a6cf8,1.0,5,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True
b3d8bf326297fb9b18ea4fef1ce8d4a6,1.0,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
a5b2537343a26f4daf0379a8b46eb2ef,1.0,3,True,True,,True,True,,True,True,,True,True,,True,True,
e6485d233ed2b8b9a2f3f50f0747b9d2,1.0,4,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True
09ee5eb3e6c726c7c8242f6e97453fc2,1.0,4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
4c31c3e198534eab45b6d92b61f75b10,1.0,4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
be9dcf562f0ab066c0b252d527a42d19,0.9995,3,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
e75fd72fb216d3d4c964602d8c338f65,1.0,7,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
430c875622713c0d7662add2d8e7db60,1.0,5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
e144d237c973d831d708cac2c17df968,1.0,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ec92f6331d8ecb50e3f0dee8fbf3bcb0,1.0,1,True,True,,True,True,,True,True,,True,True,,True,True,
6aa300d5323cbf75dc53cec3e6acb87c,0.999,8,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True
8e6faab8acc1bdcba46f098a739aec14,0.9995,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
d42912a22b570ab99938b745999ae2cc,1.0,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
b7806c4f83108800a9c32dc83c148d95,1.0,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
4bea53b2aad77f2569a0182f6b84255e,1.0,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
472fdc0687378563f0c9da6da7638e1a,1.0,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
