asv,asv_len,midas_genus,best_hit_organism,best_cosine,naive_best_cosine,genus_concordant,novel,best_taxon_id,best_n_genomes
0fec351445f84bd482075ceda6123f46,378,,Methanobacterium sp. MBAC-LM,1.0,0.9902,False,False,3412034.0,1
63f37ee4b481fccdffca10160ed5b944,378,,Methanobrevibacter arboriphilus A2,1.0,0.9927,False,False,39441.0,3
7f78afb7e1d45cd528fe9cd909c93fb5,378,,Methanobacterium sp. YSL,1.0,0.9893,False,False,2841655.0,1
b64cf0e9dea8cef6b9500b364c179b98,372,,Burkholderia pseudomallei 490f,1.0,0.9961,False,False,28450.0,3272
c55a8101fb6c187736f0af61f720cb92,370,,Lentimicrobium saccharophilum strain TBC1,0.999,0.9922,False,False,1678841.0,1
8466f2635d9fbf9c51a04877474f3d09,372,,Alcaligenes pakistanensis KUR1110,1.0,0.9941,False,False,1482717.0,3
83adaf3a09d08c93f2abea6a4c815592,370,,Petrimonas sp. IBARAKI,1.0,0.9932,False,False,1978337.0,5
35dbde30af820a2c3bcd85216229ad6a,378,,Methanosarcina barkeri 227,1.0,0.9824,False,False,1434106.0,22
04869be25e3dc4d526ce3824d407aedf,371,,Aminivibrio pyruvatiphilus strain DSM 25964,1.0,0.9912,False,False,1005740.0,1
25c54c57b4a4283237b33fdae82003c0,372,,Candidatus Cloacimonetes bacterium strain M1-B19,0.998,0.9907,False,False,2030808.0,3
a039c1ac15b3f4bc5cf1db8a5f1cc0fd,371,,Terrisporobacter petrolearius ELB,1.0,0.9961,False,False,1460447.0,9
38b371de3be6ddef03bea94294e9830d,378,,Methanobacterium movens JCM 15415,1.0,0.9912,False,False,493461.0,2
37a9f9625f201b6e61c29ac09ec54683,374,,Gracilibacter sp. BRH_c7a,0.9971,0.9951,False,False,1734398.0,1
c571cb007a7d9e2dfc56e8c0b4e24104,373,,Citrobacter braakii K1125,1.0,0.9946,False,False,57706.0,2646
d3cf08daefed96f494257ceff63a6cf8,373,,Synergistaceae bacterium CTOTU7657,1.0,0.9839,False,False,2053624.0,1
b3d8bf326297fb9b18ea4fef1ce8d4a6,371,,Cupidesulfovibrio sp. SRB-5,1.0,0.9883,False,False,2872636.0,10
a5b2537343a26f4daf0379a8b46eb2ef,371,,bacterium 5-aug_S3_029,1.0,0.9907,False,False,1869227.0,1
e6485d233ed2b8b9a2f3f50f0747b9d2,370,,Porphyromonadaceae bacterium NLAE-zl-C104,1.0,0.9912,False,False,1855399.0,2
09ee5eb3e6c726c7c8242f6e97453fc2,378,,Methanobacterium formicicum strain Mb9,1.0,0.9902,False,False,2162.0,5
4c31c3e198534eab45b6d92b61f75b10,371,,Paraclostridium bifermentans strain DSM 14991,1.0,0.9971,False,False,1490.0,80
be9dcf562f0ab066c0b252d527a42d19,371,,Romboutsia lituseburensis MY01,0.9995,0.9961,False,False,1537.0,4
e75fd72fb216d3d4c964602d8c338f65,374,,Enterococcus faecium CCP465,1.0,0.9956,False,False,1352.0,8740
430c875622713c0d7662add2d8e7db60,370,,Desulfovibrio carbinolicus strain DSM 3852,1.0,0.9902,False,False,296842.0,1
e29f9ab1342fe7d53d4f1e2d03bb5969,371,,bacterium 5-aug_S3_029,1.0,0.9902,False,False,1869227.0,1
e144d237c973d831d708cac2c17df968,366,,uncultured Acetobacterium sp. a0d58640-2bdf-407d-bedf-8d20b14cd168,1.0,0.9956,False,False,217139.0,18
ec92f6331d8ecb50e3f0dee8fbf3bcb0,370,,Rikenellaceae bacterium CA_44,1.0,0.9897,False,False,2049048.0,1
6aa300d5323cbf75dc53cec3e6acb87c,374,,Candidatus Cloacimonadota bacterium USMO_maxbin.063_sub,0.999,0.9932,False,False,2030808.0,2
8e6faab8acc1bdcba46f098a739aec14,372,,Massilibacterium senegalense strain mt8,0.9995,0.9917,False,False,1632858.0,2
160417c8184691818a991a146e5402d7,372,,Massilibacterium senegalense strain MGYG-HGUT-01511,0.998,0.9897,False,False,1632858.0,2
d42912a22b570ab99938b745999ae2cc,370,,uncultured Bacteroides sp. MGYG-HGUT-03363,1.0,0.9951,False,False,162156.0,2
b7806c4f83108800a9c32dc83c148d95,369,,Candidatus Uhrbacteria bacterium AMX-MBFR-16,1.0,0.9937,False,False,2053634.0,2
4bea53b2aad77f2569a0182f6b84255e,370,,Dysgonomonas mossii strain 19428wE4_P11,1.0,0.9956,False,False,163665.0,13
472fdc0687378563f0c9da6da7638e1a,374,,Stenotrophomonas acidaminiphila CTOTU49681,1.0,0.9941,False,False,128780.0,11
93fadef301b62aa732e42bf1142b3afa,370,,uncultured candidate division WWE3 bacterium SRR6007446_bin.103_CONCOCT_v1.1_MAG,0.9995,0.9937,False,False,422285.0,1
da47a34fd036b068ca0c5eaf185e2082,372,,Synergistales bacterium UFZ-4H10,0.9985,0.9922,False,False,2268201.0,10
765b69d9c4313cc8630769db523cc54c,373,,uncultured Oscillibacter sp. strain UMGS1273,1.0,0.9956,False,False,876091.0,4
e9e060e5e0e46911cad92b8292aeefd7,374,,Proteiniclasticum ruminis strain ML2,1.0,0.9946,False,False,398199.0,2
29b313a5262947210e3e9de415abaead,372,,Ochrobactrum sp. A-1,1.0,0.9937,False,False,2920940.0,82
ea156f972cd3802c3fac147e4200ba7a,370,,Bacteroidales bacterium 6865eb80-0167-452b-a26f-3b1968b004fa,0.9976,0.9917,False,False,2030927.0,1
01bc6f144e0f577c7a5364ebafdb3509,365,,[Clostridium] innocuum strain I46,0.9976,0.9941,False,False,1522.0,10
3343d19c0bc1759a66023cbc86c92592,373,,Candidatus Cloacimonadaceae bacterium SO_2017_CLC_73,0.9995,0.9888,False,False,3064664.0,2
0709277372b3816e3986842fb10c8e96,370,,Proteiniphilum sp. STA_37,0.9995,0.9932,False,False,1926877.0,5
a061d8883eca2028db1d268500722130,373,,Candidatus Cloacimonadaceae bacterium SO_2017_CLC_73,0.999,0.9893,False,False,3064664.0,2
a82691ab5fd4e8d3d3b23b7958c8e764,374,,Ruminiclostridium sp. strain MnB_11,0.9937,0.9897,False,False,2053608.0,1
181a2b6fbc1d5f5de022772f08fb875c,373,,Pseudoflavonifractor sp. Marseille-P3106 strain Marseille-P3106,0.998,0.9951,False,False,1871015.0,1
28f1a500a5a6ebd1cede9322b50bcaad,374,,Firmicutes bacterium strain THP_Bin_10,1.0,0.9912,False,False,1879010.0,1
5976a56adfe903f7348b5eb5689e3c55,370,,Bacteroidales bacterium MB20-C3-3,0.9976,0.9917,False,False,3108503.0,3
ff6f97ce50ea01298f8e58b53b97d489,373,,Acinetobacter sp. 5254fb5e-ffb1-44dc-93a9-3377016d251e,1.0,0.9941,False,False,472.0,342
499a635c6e7dcd5c8ef518302aa50011,370,,Lascolabacillus massiliensis strain SIT8,1.0,0.9937,False,False,1627894.0,5
4b50be28c2cc7c6a4dbc6300155c5218,372,,Brevundimonas sp. NCCP 15609 2003-09-23,1.0,0.9937,False,False,3021811.0,98
19463e5fe824700110e4a4ec8afe0512,378,,uncultured archaeon CTOTU39356,0.9995,0.9917,False,False,115547.0,2
cd05a4b1cda569ae366c6980823f4c72,374,,Uliginosibacterium sp. H1,0.998,0.9951,False,False,3114757.0,1
c7553191e309cfc2e28aea2507e7afdf,371,,Anaerovoracaceae bacterium 4d0eff97-7de3-49ad-953d-66426f0db4f8,0.9995,0.9951,False,False,3030912.0,2
9feda0d620fa50b57ce3f848e1b48975,372,,Delftia tsuruhatensis HA60,1.0,0.9961,False,False,180282.0,98
07e00e1bcc9d9a3c50591f721785e591,374,,Bacillota bacterium MAG288,0.9951,0.9893,False,False,1879010.0,1
28b5f35cfb5f0516e5e5f896428abdcd,372,,Aquamicrobium lusatiense D-9,1.0,0.9932,False,False,89772.0,4
113b0d8ebf97fc5aba85fa06ecfdbb1a,374,,Candidatus Darwinibacter acetoxidans M4B_bin34,0.998,0.9937,False,False,3082383.0,1
cd1f95189b8375347f827f4a8b08dcf7,369,,Gudongella sp. M17C-05,0.9995,0.9951,False,False,2692384.0,5
a402fc6f0fd057decbe746f48bf12862,370,,Petrimonas sp. IBARAKI,0.9995,0.9927,False,False,1978337.0,5
793ecb5ed65cd96425a35698e8ab9e78,373,,Cronobacter dublinensis strain cro3214W,0.9995,0.9951,False,False,413497.0,1
1f4fb4bfdca6c9d13106ed533362a62e,374,,Desulfitobacterium hafniense strain MGYG-HGUT-01388,1.0,0.9941,False,False,49338.0,3
e8e82cf023a3abd684fe7e817acc9bf0,374,,Christensenellales bacterium AnMBR.bin514,0.9995,0.9888,False,False,3083246.0,1
5631fe818e588992529f6071afc9cda5,374,,Clostridia bacterium binned_ad_5.133,0.9971,0.9922,False,False,2044939.0,1
deb262fd92af4fdcd3b6240303048b2a,374,,Burkholderiales bacterium Beta_02,0.9995,0.9897,False,False,1674888.0,4
58b2cf308363fb35b932620518786116,371,,Proteiniborus ethanoligenes strain DSM 21650,1.0,0.9956,False,False,415015.0,1
a353b92733af5260a57dd1a0ba3001e1,378,,Methanobacterium movens JCM 15415,0.9995,0.9917,False,False,493461.0,1
