asv,best_cosine,n_old_genomes,n_old_taxa,genome_top1,genome_top20,taxon_top1,taxon_top20,genus_top1,genus_top20,genome_jaccard_top20,best_hit_organism,best_hit_genome
0fec351445f84bd482075ceda6123f46,1.0,10,8,False,True,False,True,True,True,0.17307692307692307,Methanobacterium sp. MBAC-LM,3412034.3
63f37ee4b481fccdffca10160ed5b944,1.0,2,2,True,True,True,True,True,True,0.016129032258064516,Methanobrevibacter arboriphilus A2,39441.13
7f78afb7e1d45cd528fe9cd909c93fb5,1.0,7,6,True,True,True,True,True,True,0.07462686567164178,Methanobacterium sp. YSL,2841655.3
b64cf0e9dea8cef6b9500b364c179b98,1.0,39,21,True,True,True,True,True,True,0.0074011418904631,Burkholderia pseudomallei strain 9 strain BEK,28450.2389
c55a8101fb6c187736f0af61f720cb92,0.999,2,2,True,True,True,True,True,True,0.07142857142857142,Lentimicrobium saccharophilum strain TBC1,1678841.5
8466f2635d9fbf9c51a04877474f3d09,1.0,6,6,True,True,True,True,True,True,0.029239766081871343,Alcaligenes faecalis JF101,511.291
83adaf3a09d08c93f2abea6a4c815592,1.0,2,2,True,True,True,True,True,True,0.0425531914893617,Petrimonas sp. IBARAKI,1978337.3
35dbde30af820a2c3bcd85216229ad6a,1.0,12,10,True,True,True,True,True,True,0.16417910447761194,Methanosarcina barkeri 227,1434106.5
04869be25e3dc4d526ce3824d407aedf,1.0,2,2,True,True,True,True,True,True,0.08695652173913043,Aminivibrio pyruvatiphilus strain DSM 25964,1005740.3
25c54c57b4a4283237b33fdae82003c0,0.998,7,6,True,True,True,True,True,True,0.07272727272727272,Candidatus Cloacimonetes bacterium strain M1-B19,2030808.72
a039c1ac15b3f4bc5cf1db8a5f1cc0fd,1.0,25,13,False,True,True,True,True,True,0.08,Terrisporobacter sp. DSM 29186,2963284.5
38b371de3be6ddef03bea94294e9830d,1.0,3,3,True,True,True,True,True,True,0.047619047619047616,Methanobacterium movens JCM 15415,493461.3
37a9f9625f201b6e61c29ac09ec54683,0.9971,1,1,False,False,False,False,False,False,0.0,Acetivibrio sp. MSJd-27,2841523.3
c571cb007a7d9e2dfc56e8c0b4e24104,1.0,20,7,True,True,True,True,True,True,0.0016889039013680122,Citrobacter freundii C275,546.2740
d3cf08daefed96f494257ceff63a6cf8,1.0,5,5,True,True,True,True,False,True,0.09433962264150944,Synergistaceae bacterium CTOTU7657,2053624.267
b3d8bf326297fb9b18ea4fef1ce8d4a6,1.0,2,2,True,True,True,True,True,True,0.05714285714285714,Cupidesulfovibrio sp. SRB-5,2872636.6
a5b2537343a26f4daf0379a8b46eb2ef,1.0,3,3,True,True,True,True,,,0.15789473684210525,bacterium 5-aug_S3_029,1869227.3111
e6485d233ed2b8b9a2f3f50f0747b9d2,1.0,4,4,True,True,True,True,False,True,0.05357142857142857,Porphyromonadaceae bacterium NLAE-zl-C104,1855399.3
09ee5eb3e6c726c7c8242f6e97453fc2,1.0,4,4,True,True,True,True,True,True,0.045454545454545456,Methanobacterium formicicum strain Mb9,2162.10
